webtitle,sectionname,publisheddate,webLinks
How voters turned against Narendra Modi in his party’s heartland,World news,2024-06-05T15:25:05Z,https://www.theguardian.com/world/article/2024/jun/05/how-voters-turned-again-narendra-modi-in-his-partys-heartland
The hidden story behind India’s remarkable election results: lethal heat | Amitava Kumar,Opinion,2024-06-05T14:14:46Z,https://www.theguardian.com/commentisfree/article/2024/jun/05/india-election-results-heat-bjp-cllmate-crisis
Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z,https://www.theguardian.com/world/article/2024/jun/04/india-election-results-narendra-modi-bjp
Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z,https://www.theguardian.com/world/article/2024/jun/04/narendra-modi-loses-aura-of-invincibility-as-predicted-landslide-fails-to-materialise
John Oliver on Narendra Modi: ‘India seems to be sliding toward authoritarianism’,Television & radio,2024-06-03T16:24:03Z,https://www.theguardian.com/tv-and-radio/article/2024/jun/03/john-oliver-narendra-modi-india
India elections: exit polls show Narendra Modi expected to win historic third term,World news,2024-06-03T03:50:16Z,https://www.theguardian.com/world/article/2024/jun/03/india-election-results-exit-polls-narendra-modi-victory
The Incarcerations: BK-16 and the Search for Democracy in India by Alpa Shah – review,Books,2024-06-02T15:00:07Z,https://www.theguardian.com/books/article/2024/jun/02/the-incarcerations-bk-16-and-the-search-for-democracy-in-india-by-alpa-shah-review
The Guardian view on India’s election: Narendra Modi’s audacity of hate | Editorial,Opinion,2024-05-30T17:52:58Z,https://www.theguardian.com/commentisfree/article/2024/may/30/the-guardian-view-on-indias-election-narendra-modis-audacity-of-hate
India elections: PM Narendra Modi claims he has been chosen by God,World news,2024-05-27T06:56:56Z,https://www.theguardian.com/world/article/2024/may/27/india-elections-pm-narendra-modi-claims-he-has-been-chosen-by-god
"More than half the world cannot speak freely, report finds",Global development,2024-05-22T03:00:03Z,https://www.theguardian.com/global-development/article/2024/may/22/more-than-half-the-world-cannot-speak-freely-report-finds
Revealed: Meta approved political ads in India that incited violence,World news,2024-05-20T10:00:02Z,https://www.theguardian.com/world/article/2024/may/20/revealed-meta-approved-political-ads-in-india-that-incited-violence
‘Modi builds highways but where are our jobs?’: rising inequality looms over India’s election,World news,2024-05-20T02:00:52Z,https://www.theguardian.com/world/article/2024/may/20/india-election-rising-inequality-unemployment-narendra-modi
"‘He likes scaring people’: how Modi’s right-hand man, Amit Shah, runs India",World news,2024-05-16T04:00:57Z,https://www.theguardian.com/world/article/2024/may/16/amit-shah-narendra-modi-right-hand-man-india
‘Pressured to withdraw’: BJP accused of intimidation tactics in India polls ,World news,2024-05-14T02:00:22Z,https://www.theguardian.com/world/article/2024/may/14/bjp-accused-intimidation-india-elections-gujarat
Can Modi finally win over the southern states and reshape India’s electoral map?,World news,2024-05-07T03:00:03Z,https://www.theguardian.com/world/article/2024/may/07/can-modi-finally-win-over-the-southern-states-and-reshape-indias-electoral-map
"With India’s election in full swing, Narendra Modi is getting desperate – and dangerous | Salil Tripathi",Opinion,2024-04-29T12:51:42Z,https://www.theguardian.com/commentisfree/2024/apr/29/india-election-narendra-modi-anti-muslim-rhetoric
India election: fears that Modi’s BJP will polarise voters in fight for key state,World news,2024-04-26T01:00:24Z,https://www.theguardian.com/world/2024/apr/26/india-election-locals-fear-modis-bjp-will-polarise-voters-in-fight-for-key-state
Narendra Modi accused of stirring tensions as voting in India continues,World news,2024-04-22T17:35:16Z,https://www.theguardian.com/world/2024/apr/22/narendra-modi-accused-of-stirring-tensions-as-voting-in-india-continues
"As India goes to the polls, can democracy deliver a better life for all of its people? ",Global development,2024-04-20T06:30:19Z,https://www.theguardian.com/global-development/2024/apr/20/india-elections-democracy-corruption-modi-caste-inequality-poverty-development
‘Messianic spell’: how Narendra Modi created a cult of personality,World news,2024-04-19T12:08:31Z,https://www.theguardian.com/world/2024/apr/19/messianic-spell-how-narendra-modi-created-a-cult-personality
Voting begins in India’s election with Modi widely expected to win third term,World news,2024-04-19T02:30:01Z,https://www.theguardian.com/world/2024/apr/19/voting-begins-india-election-modi-widely-expected-to-win-third-term
"Six weeks, 969 million voters, 2,600 parties: India’s mammoth election explained",World news,2024-04-18T04:00:20Z,https://www.theguardian.com/world/2024/apr/18/india-mammoth-election-explained-narendra-modi-bjp
The Guardian view on India’s election: fixing a win by outlawing dissent damages democracy | Editorial,Opinion,2024-04-17T17:32:19Z,https://www.theguardian.com/commentisfree/2024/apr/17/the-guardian-view-on-indias-election-fixing-a-win-by-outlawing-dissent-damages-democracy
Brought to boil: inside the 19 April Guardian Weekly,News,2024-04-17T17:05:08Z,https://www.theguardian.com/news/2024/apr/17/brought-to-boil-inside-the-19-april-guardian-weekly
‘I was told I’d be killed if I didn’t leave’: Himalayan state is a testing ground for Modi’s nationalism,World news,2024-04-14T10:00:50Z,https://www.theguardian.com/world/2024/apr/14/i-was-told-id-be-killed-if-i-didnt-leave-himalayan-state-is-a-testing-ground-for-modis-nationalism
A nagging doubt plagues world leaders wooing India: whose side is Narendra Modi really on? | Simon Tisdall,Opinion,2024-04-13T15:00:26Z,https://www.theguardian.com/commentisfree/2024/apr/13/narendra-modi-india-elections
‘BJP v democracy’: India’s opposition alliance cries foul as election nears,World news,2024-04-09T01:00:37Z,https://www.theguardian.com/world/2024/apr/09/bjp-versus-democracy-india-opposition-alliance-cries-foul-as-election-nears
India appears to confirm extrajudicial killings in Pakistan,World news,2024-04-05T15:40:16Z,https://www.theguardian.com/world/2024/apr/05/india-appears-to-confirm-extrajudicial-killings-in-pakistan
India summons envoy after US criticises Delhi chief minister’s arrest,World news,2024-03-28T20:57:02Z,https://www.theguardian.com/world/2024/mar/28/india-us-envoy-gloria-berbena-criticism-delhi-chief-arvind-kejriwal-narendra-modi
Arvind Kejriwal: the Delhi chief minister jailed by Modi’s government,World news,2024-03-28T18:10:52Z,https://www.theguardian.com/world/2024/mar/28/arvind-kejriwal-delhi-chief-minister-anti-corruption-jailed
‘Brazen propaganda’: pro-Modi films flood Bollywood before India election,Film,2024-03-22T11:32:51Z,https://www.theguardian.com/film/2024/mar/22/brazen-propaganda-pro-modi-films-flood-bollywood-before-india-election
Who congratulated Putin on his election victory and what does it say about global alliances?,World news,2024-03-19T05:45:57Z,https://www.theguardian.com/world/2024/mar/19/russia-election-2024-vladimir-putin-victory-who-which-leders-congratulated-him
Narendra Modi’s BJP given £570m under scheme allowing anonymous donations,World news,2024-03-15T13:16:54Z,https://www.theguardian.com/world/2024/mar/15/narendra-modi-bjp-given-570m-under-scheme-allowing-anonymous-donations
India enacts citizenship law criticised as ‘discriminatory’ to Muslims,World news,2024-03-12T05:07:03Z,https://www.theguardian.com/world/2024/mar/11/india-enacts-citizenship-law-criticised-as-discriminatory-to-muslims
Narendra Modi visits Kashmir for first time since state’s autonomy stripped,World news,2024-03-07T11:12:16Z,https://www.theguardian.com/world/2024/mar/07/narendra-modi-visits-kashmir-first-time-since-state-autonomy-stripped
‘Why are you asleep?’ Rahul Gandhi pleads with India’s low castes to vote out Modi,World news,2024-02-27T04:00:10Z,https://www.theguardian.com/world/2024/feb/27/why-are-you-asleep-rahul-gandhi-pleads-with-indias-low-castes-to-vote-out-modi
India confronts Google over Gemini AI tool’s ‘fascist Modi’ responses,World news,2024-02-26T09:42:29Z,https://www.theguardian.com/world/2024/feb/26/india-confronts-google-over-gemini-ai-tools-fascist-modi-responses
The Guardian view on Modi in Ayodhya: an alarming new era for India | Editorial,Opinion,2024-01-22T18:42:19Z,https://www.theguardian.com/commentisfree/2024/jan/22/the-guardian-view-on-modi-in-ayodhya-an-alarming-new-era-for-hindu-nationalism
"As petals rained down and celebrities beamed, Modi unveiled his vision of a Hindu India | Mukul Kesavan",Opinion,2024-01-22T14:18:35Z,https://www.theguardian.com/commentisfree/2024/jan/22/modi-ram-temple-hindu-right-project
Modi inaugurates Hindu temple on site of razed mosque in India,World news,2024-01-22T08:17:14Z,https://www.theguardian.com/world/2024/jan/22/modi-inaugurates-hindu-temple-on-site-of-razed-mosque-in-india
Divine moment or political gimmick? India gears up to inaugurate huge Hindu temple,World news,2024-01-15T13:49:18Z,https://www.theguardian.com/world/2024/jan/15/divine-moment-or-political-gimmick-india-gears-up-to-inaugurate-huge-hindu-temple
Modi trip to Indian islands prompts Maldives row,World news,2024-01-08T10:00:45Z,https://www.theguardian.com/world/2024/jan/08/india-maldives-tensions-deepen-amid-tourism-row
BJP win in India’s 2024 general election ‘almost an inevitability’,World news,2023-12-31T09:02:05Z,https://www.theguardian.com/world/2023/dec/31/bjp-modi-india-general-election-2024
The world in 2024: Guardian writers on what to look out for,World news,2023-12-30T12:00:33Z,https://www.theguardian.com/world/2023/dec/30/world-2024-guardian-writers-what-to-look-out-for
The Guardian view on the power of hope: a Christmas gift in dark times | Editorial,Opinion,2023-12-22T18:30:03Z,https://www.theguardian.com/commentisfree/2023/dec/22/the-guardian-view-on-the-power-of-hope-a-christmas-gift-in-dark-times
"An MP, her ex and their dog: Mahua Moitra’s battle with India’s parliament",World news,2023-12-22T03:01:43Z,https://www.theguardian.com/world/2023/dec/22/mahua-moitra-indian-parliament-expulsion
Indian government accused of attack on democracy as 141 MPs suspended,World news,2023-12-19T16:29:06Z,https://www.theguardian.com/world/2023/dec/19/indian-government-accused-attack-democracy-mps-suspended-modi-bjp
India’s supreme court upholds decision to strip Kashmir of special status,World news,2023-12-11T09:48:46Z,https://www.theguardian.com/world/2023/dec/11/india-supreme-court-upholds-move-to-strip-kashmir-of-special-status
No 10 team arrives in Delhi to revive talks over free trade deal,Politics,2023-12-08T15:56:12Z,https://www.theguardian.com/politics/2023/dec/08/no-10-team-arrives-in-delhi-to-revive-talks-free-trade-deal-sunak-modi
India takes strong pro-Israel stance under Modi in a departure from the past,World news,2023-10-31T05:00:34Z,https://www.theguardian.com/world/2023/oct/31/india-pro-israel-narendra-modi-bjp-government
Arundhati Roy is being hounded by the Indian state. This is a test case for its democracy | Meena Kandasamy,Opinion,2023-10-20T11:35:24Z,https://www.theguardian.com/commentisfree/2023/oct/20/arundhati-roy-india-author-freedom-of-speech
The Guardian view on World Cup sportwashing: money talks – and what it says is troubling | Editorial,Opinion,2023-10-08T17:25:47Z,https://www.theguardian.com/commentisfree/2023/oct/08/the-guardian-view-on-world-cup-sportwashing-money-talks-and-what-it-says-is-troubling
Delhi police search journalists’ homes in latest raids on media,World news,2023-10-03T15:16:27Z,https://www.theguardian.com/world/2023/oct/03/delhi-police-search-journalists-homes-raids-media
‘A tool of political control’: how India became the world leader in internet blackouts,World news,2023-09-25T05:01:41Z,https://www.theguardian.com/world/2023/sep/25/a-tool-of-political-control-how-india-became-the-world-leader-in-internet-blackouts
The Observer view on assassination of Sikh in Canada: Narendra Modi’s hubris is ill-judged | Observer editorial,Opinion,2023-09-24T05:04:13Z,https://www.theguardian.com/commentisfree/2023/sep/24/the-observer-view-on-hardeep-singh-nijjar-killing-narendra-modi-hubris-ill-judged
"How should UK, US and Australia respond to Canada-India row?",World news,2023-09-20T18:52:20Z,https://www.theguardian.com/world/2023/sep/20/should-uk-us-australia-respond-canada-india-row
 Canada killing adds to suspicions of Indian crackdown on Sikh separatists,World news,2023-09-19T18:33:17Z,https://www.theguardian.com/world/2023/sep/19/canada-killing-adds-to-suspicions-of-indian-crackdown-on-sikh-separatists
The Guardian view on Canada and India: from partnership to public claims of a killing | Editorial,Opinion,2023-09-19T18:14:45Z,https://www.theguardian.com/commentisfree/2023/sep/19/the-guardian-view-on-canada-and-india-from-partnership-to-public-claims-of-a-killing
‘Chill out’: Albanese asked about calling Indian PM ‘the boss’ as storm brews over alleged assassination,Australia news,2023-09-19T06:19:27Z,https://www.theguardian.com/australia-news/2023/sep/19/anthony-albanese-indian-prime-minister-the-boss-assassination-allegations-sikh-leader-hardeep-singh-nijjar
"‘Credible allegations’ link India to killing of Sikh leader, says Trudeau",World news,2023-09-19T03:06:00Z,https://www.theguardian.com/world/2023/sep/18/credible-evidence-india-behind-killing-of-canadian-sikh-leader-says-trudeau
Watered-down G20 statement on Ukraine is sign of India’s growing influence,World news,2023-09-10T13:01:35Z,https://www.theguardian.com/world/2023/sep/10/watered-down-g20-statement-on-ukraine-is-sign-of-indias-growing-influence
"Modi has boosted his image, but the G20 summit looks set to achieve little else | Observer editorial",Opinion,2023-09-10T05:03:42Z,https://www.theguardian.com/commentisfree/2023/sep/10/modi-boosted-image-but-g20-achieve-little-else
Rishi who? Sunak slips down pecking order in G20 scramble to court India,Politics,2023-09-09T21:30:34Z,https://www.theguardian.com/politics/2023/sep/09/rishi-sunak-g20-india-delhi-summit
G20 leaders agree joint declaration after deal on Ukraine statement,World news,2023-09-09T13:16:53Z,https://www.theguardian.com/world/2023/sep/09/g20-leaders-agree-joint-declaration-after-deal-on-ukraine-statement
"What Modi won’t show the G20: Muslims killed, harassed by the police and abused in school | Rana Ayyub",Opinion,2023-09-09T07:00:16Z,https://www.theguardian.com/commentisfree/2023/sep/09/what-modi-wont-show-g20-muslims-india
Biden renews effort to woo India’s Modi in talks before G20 summit,US news,2023-09-08T18:48:58Z,https://www.theguardian.com/us-news/2023/sep/08/biden-renews-effort-to-woo-indias-modi-in-talks-before-g20-summit
The US should not normalize Modi’s autocratic and illiberal India at the G20 | Jason Stanley,Opinion,2023-09-08T10:05:35Z,https://www.theguardian.com/commentisfree/2023/sep/08/biden-india-modi-g20-autocrat
Rishi Sunak to urge Narendra Modi to take stronger stance on Russia,World news,2023-09-07T21:30:37Z,https://www.theguardian.com/world/2023/sep/07/rishi-sunak-to-urge-narendra-modi-to-take-stronger-stance-on-russia
India or Bharat? G20 invitations throw up question dating back centuries,World news,2023-09-07T01:00:12Z,https://www.theguardian.com/world/2023/sep/07/india-or-bharat-g20-invitations-throw-up-question-dating-back-centuries
